1/2015,1234.123
2/2015,1234.123
3/2015,1234.123
4/2015,1234.123
5/2015,1234.123
6/2015,1234.123
7/2015,1234.123
8/2015,1234.123
9/2015,1234.123
10/2015,1234.123
11/2015,1234.123
12/2015,1234.123
1/2016,1234.123
2/2016,1234.123
3/2016,1234.123
4/2016,1234.123
5/2016,1234.123
6/2016,1234.123
7/2016,1234.123
8/2016,1234.123
9/2016,1234.123
10/2016,1234.123
11/2016,1234.123
12/2016,1234.123
1/2017,1234.123
2/2017,1234.123
3/2017,1234.123
4/2017,1234.123
5/2017,1234.123
6/2017,1234.123
7/2017,1234.123
